分类: 📺央视频道, 名称: CCTV-1, 总数: 121, 有效: 1, 有效率: 0.83%, IPv4: 112, IPv6: 9, 最小延迟: 133 ms, 最高速率: 4.71 M/s, 平均速率: 1.55 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 总数: 98, 有效: 2, 有效率: 2.04%, IPv4: 84, IPv6: 14, 最小延迟: 18 ms, 最高速率: 1.16 M/s, 平均速率: 0.94 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 总数: 96, 有效: 1, 有效率: 1.04%, IPv4: 86, IPv6: 10, 最小延迟: 24 ms, 最高速率: 5.07 M/s, 平均速率: 1.14 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 总数: 104, 有效: 3, 有效率: 2.88%, IPv4: 95, IPv6: 9, 最小延迟: 19 ms, 最高速率: 1.29 M/s, 平均速率: 1.05 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 总数: 100, 有效: 1, 有效率: 1.00%, IPv4: 89, IPv6: 11, 最小延迟: 223 ms, 最高速率: 1.45 M/s, 平均速率: 1.45 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 总数: 78, 有效: 2, 有效率: 2.56%, IPv4: 70, IPv6: 8, 最小延迟: 152 ms, 最高速率: 1.86 M/s, 平均速率: 1.69 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 总数: 92, 有效: 1, 有效率: 1.09%, IPv4: 81, IPv6: 11, 最小延迟: 204 ms, 最高速率: 1.35 M/s, 平均速率: 1.35 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 总数: 94, 有效: 2, 有效率: 2.13%, IPv4: 85, IPv6: 9, 最小延迟: 20 ms, 最高速率: 1.48 M/s, 平均速率: 1.18 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 总数: 91, 有效: 3, 有效率: 3.30%, IPv4: 81, IPv6: 10, 最小延迟: 22 ms, 最高速率: 1.06 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 总数: 89, 有效: 1, 有效率: 1.12%, IPv4: 79, IPv6: 10, 最小延迟: 147 ms, 最高速率: 1.26 M/s, 平均速率: 1.26 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 总数: 93, 有效: 2, 有效率: 2.15%, IPv4: 84, IPv6: 9, 最小延迟: 20 ms, 最高速率: 1.48 M/s, 平均速率: 1.06 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 总数: 79, 有效: 1, 有效率: 1.27%, IPv4: 69, IPv6: 10, 最小延迟: 219 ms, 最高速率: 1.36 M/s, 平均速率: 1.36 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 总数: 93, 有效: 1, 有效率: 1.08%, IPv4: 84, IPv6: 9, 最小延迟: 22 ms, 最高速率: 1.31 M/s, 平均速率: 1.31 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 总数: 90, 有效: 4, 有效率: 4.44%, IPv4: 78, IPv6: 12, 最小延迟: 22 ms, 最高速率: 1.22 M/s, 平均速率: 0.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 总数: 92, 有效: 3, 有效率: 3.26%, IPv4: 84, IPv6: 8, 最小延迟: 54 ms, 最高速率: 1.46 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 总数: 72, 有效: 2, 有效率: 2.78%, IPv4: 64, IPv6: 8, 最小延迟: 238 ms, 最高速率: 1.46 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 总数: 70, 有效: 4, 有效率: 5.71%, IPv4: 57, IPv6: 13, 最小延迟: 19 ms, 最高速率: 1.22 M/s, 平均速率: 0.89 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-17, 总数: 70, 有效: 1, 有效率: 1.43%, IPv4: 62, IPv6: 8, 最小延迟: 236 ms, 最高速率: 1.51 M/s, 平均速率: 1.51 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-3, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CETV-1, 总数: 27, 有效: 0, 有效率: 0.00%, IPv4: 21, IPv6: 6, 最小延迟: 378 ms, 最高速率: 0.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 总数: 13, 有效: 0, 有效率: 0.00%, IPv4: 7, IPv6: 6, 最小延迟: 1024 ms, 最高速率: 0.30 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-4, 总数: 22, 有效: 1, 有效率: 4.55%, IPv4: 17, IPv6: 5, 最小延迟: 391 ms, 最高速率: 0.78 M/s, 平均速率: 0.78 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 文化精品, 总数: 8, 有效: 0, 有效率: 0.00%, IPv4: 5, IPv6: 3, 最小延迟: 403 ms, 最高速率: 0.43 M/s, 平均速率: 0.00 M/s, 最高分辨率: 0x0
分类: 💰央视付费频道, 名称: 央视台球, 总数: 12, 有效: 1, 有效率: 8.33%, IPv4: 9, IPv6: 3, 最小延迟: 411 ms, 最高速率: 1.48 M/s, 平均速率: 1.48 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云音乐, 总数: 13, 有效: 0, 有效率: 0.00%, IPv4: 10, IPv6: 3, 最小延迟: 396 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 💰央视付费频道, 名称: 第一剧场, 总数: 20, 有效: 1, 有效率: 5.00%, IPv4: 18, IPv6: 2, 最小延迟: 22 ms, 最高速率: 0.65 M/s, 平均速率: 0.65 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云剧场, 总数: 20, 有效: 0, 有效率: 0.00%, IPv4: 17, IPv6: 3, 最小延迟: 384 ms, 最高速率: 0.27 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 怀旧剧场, 总数: 21, 有效: 0, 有效率: 0.00%, IPv4: 18, IPv6: 3, 最小延迟: 387 ms, 最高速率: 0.25 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 女性时尚, 总数: 10, 有效: 0, 有效率: 0.00%, IPv4: 8, IPv6: 2, 最小延迟: 383 ms, 最高速率: 0.49 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 高尔夫网球, 总数: 8, 有效: 0, 有效率: 0.00%, IPv4: 5, IPv6: 3, 最小延迟: 382 ms, 最高速率: 0.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云足球, 总数: 16, 有效: 0, 有效率: 0.00%, IPv4: 13, IPv6: 3, 最小延迟: 428 ms, 最高速率: 0.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 电视指南, 总数: 4, 有效: 0, 有效率: 0.00%, IPv4: 3, IPv6: 1, 最小延迟: 452 ms, 最高速率: 0.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: 0x0
分类: 🍉┃咪咕频道, 名称: CGT西语咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: CGT阿语咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: CGT法语咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 💰央视付费频道, 名称: 世界地理, 总数: 15, 有效: 0, 有效率: 0.00%, IPv4: 12, IPv6: 3, 最小延迟: 383 ms, 最高速率: 1.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🍉┃咪咕频道, 名称: 陕西卫视咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 东方卫视咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 江苏卫视咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 湖北卫视咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 江西卫视咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 海南卫视咪咕, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 新片映厅咪咕, 总数: 2, 有效: 0, 有效率: 0.00%, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 💰央视付费频道, 名称: 兵器科技, 总数: 9, 有效: 0, 有效率: 0.00%, IPv4: 7, IPv6: 2, 最小延迟: 430 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🍉┃咪咕频道, 名称: 家庭影院咪咕, 总数: 2, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 1, 最小延迟: 8008 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 🍉┃咪咕频道, 名称: 动作电影咪咕, 总数: 11, 有效: 0, 有效率: 0.00%, IPv4: 8, IPv6: 3, 最小延迟: 267 ms, 最高速率: 0.06 M/s, 平均速率: 0.00 M/s, 最高分辨率: 640x360
